

** FIXED POINT METHOD IMPLEMENTATION **
--------------------------------------------------
Iteration-1 | xr = 1.000000 | f(xr) = 632.000000  | error 0.000000%
Iteration-2 | xr = 0.707107 | f(xr) = 3.473470  | error 41.421356%
Iteration-3 | xr = 0.765367 | f(xr) = 8.631687  | error 7.612047%
Iteration-4 | xr = 0.752632 | f(xr) = 7.093161  | error 1.692083%
Iteration-5 | xr = 0.755361 | f(xr) = 7.398630  | error 0.361347%
Iteration-6 | xr = 0.754774 | f(xr) = 7.331821  | error 0.077838%
Iteration-7 | xr = 0.754900 | f(xr) = 7.346139  | error 0.016736%
Iteration-8 | xr = 0.754873 | f(xr) = 7.343057  | error 0.003600%
Iteration-9 | xr = 0.754879 | f(xr) = 7.343720  | error 0.000774%
Iteration-10 | xr = 0.754877 | f(xr) = 7.343577  | error 0.000167%
Iteration-11 | xr = 0.754878 | f(xr) = 7.343608  | error 0.000036%
Iteration-12 | xr = 0.754878 | f(xr) = 7.343601  | error 0.000008%
Iteration-13 | xr = 0.754878 | f(xr) = 7.343603  | error 0.000002%
Iteration-14 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-15 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-16 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-17 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-18 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-19 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-20 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-21 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-22 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-23 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-24 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-25 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-26 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-27 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-28 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-29 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-30 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-31 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-32 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-33 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-34 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-35 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-36 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-37 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-38 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-39 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-40 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-41 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-42 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-43 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-44 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-45 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-46 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-47 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-48 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-49 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-50 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-51 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-52 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-53 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-54 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-55 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-56 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-57 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-58 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-59 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-60 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-61 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-62 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-63 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-64 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-65 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-66 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-67 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-68 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-69 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-70 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-71 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-72 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-73 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-74 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-75 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-76 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-77 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-78 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-79 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-80 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-81 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-82 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-83 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-84 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-85 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-86 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-87 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-88 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-89 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-90 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-91 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-92 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-93 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-94 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-95 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-96 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-97 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-98 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-99 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-100 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-101 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-102 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-103 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-104 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-105 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-106 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-107 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-108 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-109 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-110 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-111 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-112 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-113 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-114 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-115 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-116 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-117 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-118 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-119 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-120 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-121 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-122 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-123 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-124 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-125 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-126 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-127 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-128 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-129 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-130 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-131 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-132 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-133 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-134 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-135 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-136 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-137 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-138 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-139 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-140 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-141 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-142 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-143 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-144 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-145 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-146 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-147 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-148 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-149 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-150 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-151 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-152 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-153 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-154 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-155 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-156 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-157 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-158 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-159 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-160 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-161 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-162 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-163 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-164 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-165 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-166 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-167 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-168 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-169 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-170 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-171 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-172 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-173 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-174 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-175 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-176 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-177 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-178 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-179 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-180 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-181 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-182 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-183 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-184 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-185 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-186 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-187 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
