

** Fixed Point METHOD IMPLEMENTATION **
--------------------------------------------------
Iteration 1 | xl = 5.000000 | f(xl) = -11.500000 | xr = 0.408248 | f(xr) = 3.044022 | error =0.00    ‰ 
Iteration 2 | xl = 0.408248 | f(xl) = 3.044022 | xr = 0.842676 | f(xr) = 3.293457 | error =51.55    ‰ 
Iteration 3 | xl = 0.842676 | f(xl) = 3.293457 | xr = 0.736674 | f(xr) = 3.263926 | error =14.39    ‰ 
Iteration 4 | xl = 0.736674 | f(xl) = 3.263926 | xr = 0.758824 | f(xr) = 3.271768 | error =2.92    ‰ 
Iteration 5 | xl = 0.758824 | f(xl) = 3.271768 | xr = 0.754030 | f(xr) = 3.270146 | error =0.64    ‰ 
Iteration 6 | xl = 0.754030 | f(xl) = 3.270146 | xr = 0.755060 | f(xr) = 3.270498 | error =0.14    ‰ 
Iteration 7 | xl = 0.755060 | f(xl) = 3.270498 | xr = 0.754838 | f(xr) = 3.270422 | error =0.03    ‰ 
Iteration 8 | xl = 0.754838 | f(xl) = 3.270422 | xr = 0.754886 | f(xr) = 3.270439 | error =0.01    ‰ 
Iteration 9 | xl = 0.754886 | f(xl) = 3.270439 | xr = 0.754876 | f(xr) = 3.270435 | error =0.00    ‰ 
Iteration 10 | xl = 0.754876 | f(xl) = 3.270435 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 11 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 12 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 13 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 14 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 15 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 16 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 17 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 18 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 19 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 20 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 21 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 22 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 23 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 24 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 25 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 26 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 27 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 28 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
Iteration 29 | xl = 0.754878 | f(xl) = 3.270436 | xr = 0.754878 | f(xr) = 3.270436 | error =0.00    ‰ 
